date,close,open,high,low,volume,amount
2025-07-23,134353.7307557749,132656.0546544488,134353.7307557749,132656.0546544488,767672388.0,857045959.5341
2025-07-24,138316.25520581586,134353.7307557749,138316.25520581586,134353.7307557749,773265835.0,852239625.2565
2025-07-25,139823.39493813968,138316.25520581586,139823.39493813968,138316.25520581586,697189549.0,821609575.947
2025-07-28,141162.43965075602,139823.39493813968,141162.43965075602,139823.39493813968,594187877.0,761265438.4323
2025-07-29,142561.93777565323,141162.43965075602,142561.93777565323,141162.43965075602,610642058.0,793606423.7045
2025-07-30,142749.7337532499,142561.93777565323,142749.7337532499,142561.93777565323,637221916.0,819627949.1139
2025-07-31,142840.74098661973,142749.7337532499,142840.74098661973,142749.7337532499,654509349.0,845893058.0582
2025-08-01,142071.72069388887,142840.74098661973,142840.74098661973,142071.72069388887,509563080.0,684645226.0213
2025-08-04,141693.101684668,142071.72069388887,142071.72069388887,141693.101684668,458573618.0,639775598.4567
2025-08-05,142009.43815620022,141693.101684668,142009.43815620022,141693.101684668,499797780.0,656382505.1018
2025-08-06,143595.729974309,142009.43815620022,143595.729974309,142009.43815620022,512467273.0,707221251.6075
2025-08-07,144555.80389493375,143595.729974309,144555.80389493375,143595.729974309,535501202.0,749699997.3363
2025-08-08,144076.9678665291,144555.80389493375,144555.80389493375,144076.9678665291,526407572.0,713569731.1415
2025-08-11,146909.97043659515,144076.9678665291,146909.97043659515,144076.9678665291,551393348.0,751329446.7775
2025-08-12,147758.55215607397,146909.97043659515,147758.55215607397,146909.97043659515,536623739.0,778161034.2482
2025-08-13,151577.6640750083,147758.55215607397,151577.6640750083,147758.55215607397,613528884.0,887022595.7193
2025-08-14,152526.9618518683,151577.6640750083,152526.9618518683,151577.6640750083,647829587.0,949464273.6235
2025-08-15,158196.83660293865,152526.9618518683,158196.83660293865,152526.9618518683,678521703.0,960624988.909
2025-08-18,167492.20348174727,158196.83660293865,167492.20348174727,158196.83660293865,776016669.0,1133941943.1577
2025-08-19,172615.87961964778,167492.20348174727,172615.87961964778,167492.20348174727,696099750.0,1060899235.6684
2025-08-20,177250.1543305418,172615.87961964778,177250.1543305418,172615.87961964778,679836426.0,1017500164.0639
2025-08-21,178835.93270085604,177250.1543305418,178835.93270085604,177250.1543305418,691552959.0,997741900.7503
2025-08-22,183420.31124179234,178835.93270085604,183420.31124179234,178835.93270085604,698136277.0,1095091495.7102
2025-08-25,192793.0245911678,183420.31124179234,192793.0245911678,183420.31124179234,885474802.0,1360903869.0367
2025-08-26,195653.54593616512,192793.0245911678,195653.54593616512,192793.0245911678,734565305.0,1114187895.2502
2025-08-27,198112.6669554426,195653.54593616512,198112.6669554426,195653.54593616512,858633499.0,1326848744.0182
2025-08-28,205388.24288212,198112.6669554426,205388.24288212,198112.6669554426,788351947.0,1265185534.1951
2025-08-29,206742.8674596663,205388.24288212,206742.8674596663,205388.24288212,739462366.0,1221691851.556
2025-09-01,210512.46875394753,206742.8674596663,210512.46875394753,206742.8674596663,747709536.0,1208347980.8561
2025-09-02,208745.14886017065,210512.46875394753,210512.46875394753,208745.14886017065,762618833.0,1222777663.9974
2025-09-03,203892.92543661865,208745.14886017065,208745.14886017065,203892.92543661865,645668510.0,1012296084.0032
2025-09-04,201513.3681551273,203892.92543661865,203892.92543661865,201513.3681551273,710227933.0,1107892043.2037
2025-09-05,206093.06187990928,201513.3681551273,206093.06187990928,201513.3681551273,626223380.0,979061710.2211
2025-09-08,207225.41669012877,206093.06187990928,207225.41669012877,206093.06187990928,660066898.0,1025883749.952
2025-09-09,202227.04988365373,207225.41669012877,207225.41669012877,202227.04988365373,600239380.0,917795306.2257
2025-09-10,198713.90294363763,202227.04988365373,202227.04988365373,198713.90294363763,534539825.0,821113584.5222
2025-09-11,202292.3752192356,198713.90294363763,202292.3752192356,198713.90294363763,617012930.0,1016794001.3821
2025-09-12,202922.70102006392,202292.3752192356,202922.70102006392,202292.3752192356,700641784.0,1093807300.6635
2025-09-15,201442.3097331825,202922.70102006392,202922.70102006392,201442.3097331825,644793944.0,986171993.9404
2025-09-16,203148.8760392339,201442.3097331825,203148.8760392339,201442.3097331825,673439723.0,989786137.9216
2025-09-17,203723.6005352404,203148.8760392339,203723.6005352404,203148.8760392339,663434713.0,1006679080.9142
2025-09-18,206758.90602992353,203723.6005352404,206758.90602992353,203723.6005352404,876027389.0,1365962423.6401
2025-09-19,204345.17670594962,206758.90602992353,206758.90602992353,204345.17670594962,682292613.0,1016348310.666
2025-09-22,202227.4255549144,204345.17670594962,204345.17670594962,202227.4255549144,568325686.0,941799982.0649
2025-09-23,200742.9916448246,202227.4255549144,202227.4255549144,200742.9916448246,701902868.0,1071697826.1381
2025-09-24,203175.12159848222,200742.9916448246,203175.12159848222,200742.9916448246,602056670.0,1015707870.4547
2025-09-25,201139.09894293753,203175.12159848222,203175.12159848222,201139.09894293753,589950531.0,1001211369.1138
2025-09-26,196449.4904530202,201139.09894293753,201139.09894293753,196449.4904530202,551275335.0,927864903.4168
2025-09-29,196773.9544398021,196449.4904530202,196773.9544398021,196449.4904530202,608466399.0,968212397.5721
2025-09-30,196134.2130630146,196773.9544398021,196773.9544398021,196134.2130630146,569734631.0,973274951.6486
2025-10-09,199929.68337413736,196134.2130630146,199929.68337413736,196134.2130630146,725218501.0,1216888716.0622
2025-10-10,197706.03097807587,199929.68337413736,199929.68337413736,197706.03097807587,718917673.0,1132127151.7345
2025-10-13,197212.91334905935,197706.03097807587,197706.03097807587,197212.91334905935,709506101.0,1085413591.3255
2025-10-14,194471.38094051817,197212.91334905935,197212.91334905935,194471.38094051817,800839631.0,1209983827.6837
2025-10-15,194662.3638097697,194471.38094051817,194662.3638097697,194471.38094051817,645012955.0,961552165.6352
2025-10-16,189517.28602305904,194662.3638097697,194662.3638097697,189517.28602305904,595451491.0,869264580.4647
2025-10-17,182079.69507800174,189517.28602305904,189517.28602305904,182079.69507800174,617563018.0,873181597.9486
2025-10-20,180408.89602750124,182079.69507800174,182079.69507800174,180408.89602750124,549261712.0,772503219.6318
2025-10-21,180967.5197463449,180408.89602750124,180967.5197463449,180408.89602750124,599415713.0,837938398.3148
2025-10-22,176458.15596818295,180967.5197463449,180967.5197463449,176458.15596818295,543117344.0,741524798.4466
2025-10-23,173412.66183140303,176458.15596818295,176458.15596818295,173412.66183140303,565189264.0,718931051.9724
2025-10-24,174226.91959307995,173412.66183140303,174226.91959307995,173412.66183140303,567858443.0,858491253.2107
2025-10-27,177107.2782307489,174226.91959307995,177107.2782307489,174226.91959307995,637589545.0,1043404043.2035
2025-10-28,176948.96725244244,177107.2782307489,177107.2782307489,176948.96725244244,577357684.0,940760864.4693
2025-10-29,179381.0946331337,176948.96725244244,179381.0946331337,176948.96725244244,612917466.0,968215713.2639
2025-10-30,179543.83776184337,179381.0946331337,179543.83776184337,179381.0946331337,668485609.0,1070058589.3948
2025-10-31,181225.46101929157,179543.83776184337,181225.46101929157,179543.83776184337,675615406.0,1031104616.8294
2025-11-03,181716.36139086448,181225.46101929157,181716.36139086448,181225.46101929157,641245945.0,941703699.2636
2025-11-04,177982.64774240073,181716.36139086448,181716.36139086448,177982.64774240073,615493792.0,852938368.4296
2025-11-05,177556.49403303728,177982.64774240073,177982.64774240073,177556.49403303728,614991618.0,827133576.9498
2025-11-06,178404.1570948561,177556.49403303728,178404.1570948561,177556.49403303728,627367547.0,930275554.3548
2025-11-07,177375.10601456685,178404.1570948561,178404.1570948561,177375.10601456685,596507034.0,875486746.3911
2025-11-10,178865.37069354797,177375.10601456685,178865.37069354797,177375.10601456685,634049993.0,960588645.7624
2025-11-11,178491.2368173017,178865.37069354797,178865.37069354797,178491.2368173017,581994921.0,858362142.5527
2025-11-12,176678.13859813084,178491.2368173017,178491.2368173017,176678.13859813084,586193228.0,840467209.8901
2025-11-13,179708.34060309554,176678.13859813084,179708.34060309554,176678.13859813084,613031061.0,876400923.5967
2025-11-14,178336.7009225871,179708.34060309554,179708.34060309554,178336.7009225871,622017118.0,837969502.2033
2025-11-17,178291.70824617642,178336.7009225871,178336.7009225871,178291.70824617642,592017950.0,805733125.739
2025-11-18,175642.14844643674,178291.70824617642,178291.70824617642,175642.14844643674,594411046.0,790948598.3913
2025-11-19,172036.01762792416,175642.14844643674,175642.14844643674,172036.01762792416,531149601.0,720908759.2239
2025-11-20,168894.76340339065,172036.01762792416,172036.01762792416,168894.76340339065,534749540.0,711341284.0043
2025-11-21,162999.81640140136,168894.76340339065,168894.76340339065,162999.81640140136,631646251.0,824931134.7897
2025-11-24,163441.68218547746,162999.81640140136,163441.68218547746,162999.81640140136,504601716.0,715539247.3609
2025-11-25,164457.5034599409,163441.68218547746,164457.5034599409,163441.68218547746,478727611.0,722788782.8195
2025-11-26,162212.75245842893,164457.5034599409,164457.5034599409,162212.75245842893,457589755.0,701019872.5289
2025-11-27,160704.84262696528,162212.75245842893,162212.75245842893,160704.84262696528,444021947.0,698519107.2485
2025-11-28,159981.64293417786,160704.84262696528,160704.84262696528,159981.64293417786,449931973.0,645755815.1049
2025-12-01,161303.17731833566,159981.64293417786,161303.17731833566,159981.64293417786,537554133.0,785658341.8602
2025-12-02,158339.09139746643,161303.17731833566,161303.17731833566,158339.09139746643,455584494.0,627440672.4625
2025-12-03,155879.04945146714,158339.09139746643,158339.09139746643,155879.04945146714,485617270.0,647166528.2032
2025-12-04,153010.35978618948,155879.04945146714,155879.04945146714,153010.35978618948,445040290.0,623712571.5154
2025-12-05,154432.65388157082,153010.35978618948,154432.65388157082,153010.35978618948,500368768.0,716742448.877
2025-12-08,157618.03206585752,154432.65388157082,157618.03206585752,154432.65388157082,547349789.0,839439003.4334
2025-12-09,156658.4059488829,157618.03206585752,157618.03206585752,156658.4059488829,524538256.0,781160399.409
2025-12-10,156093.40904176366,156658.4059488829,156658.4059488829,156093.40904176366,497331504.0,730359828.4451
2025-12-11,154274.05866240506,156093.40904176366,156093.40904176366,154274.05866240506,525658600.0,764350151.5785
